index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1657,3.25
1,10,1,0.01,1657,3.25
2,11,0,0.015,1657,3.25
3,11,1,0.02,1657,3.25
4,12,0,0.025,1657,3.25
5,12,1,0.03,1657,3.25
6,13,0,0.035,1656,3.25833
7,13,1,0.04,1656,3.25833
8,14,0,0.045,1656,3.25833
9,14,1,0.05,1656,3.25833
10,15,0,0.055,1657,3.25
11,15,1,0.06,1657,3.25
12,16,0,0.065,1658,3.24167
13,16,1,0.07,1658,3.24167
14,17,0,0.075,1659,3.23333
15,17,1,0.08,1659,3.23333
16,18,0,0.085,1659,3.23333
17,18,1,0.09,1659,3.23333
18,19,0,0.095,1659,3.23333
19,19,1,0.1,1660,3.225
20,20,0,0.105,1660,3.225
21,20,1,0.11,1661,3.21667
22,21,0,0.115,1661,3.21667
23,21,1,0.12,1661,3.21667
24,22,0,0.125,1662,3.20833
25,22,1,0.13,1662,3.20833
26,23,0,0.135,1662,3.20833
27,23,1,0.14,1662,3.20833
28,24,0,0.145,1662,3.20833
29,24,1,0.15,1662,3.20833
30,25,0,0.155,1663,3.2
31,25,1,0.16,1662,3.20833
32,26,0,0.165,1663,3.2
33,26,1,0.17,1663,3.2
34,27,0,0.175,1662,3.20833
35,27,1,0.18,1663,3.2
36,28,0,0.185,1662,3.20833
37,28,1,0.19,1662,3.20833
38,29,0,0.195,1662,3.20833
39,29,1,0.2,1662,3.20833
40,30,0,0.205,1661,3.21667
41,30,1,0.21,1660,3.225
42,31,0,0.215,1660,3.225
43,31,1,0.22,1660,3.225
44,32,0,0.225,1660,3.225
45,32,1,0.23,1660,3.225
46,33,0,0.235,1660,3.225
47,33,1,0.24,1660,3.225
48,34,0,0.245,1661,3.21667
49,34,1,0.25,1660,3.225
50,35,0,0.255,1660,3.225
51,35,1,0.26,1660,3.225
52,36,0,0.265,1659,3.23333
53,36,1,0.27,1659,3.23333
54,37,0,0.275,1659,3.23333
55,37,1,0.28,1659,3.23333
56,38,0,0.285,1660,3.225
57,38,1,0.29,1660,3.225
58,39,0,0.295,1660,3.225
59,39,1,0.3,1661,3.21667
60,39,2,0.305,1661,3.21667
61,40,0,0.31,1661,3.21667
62,41,0,0.315,1661,3.21667
63,41,1,0.32,1661,3.21667
64,42,0,0.325,1661,3.21667
65,42,1,0.33,1661,3.21667
66,43,0,0.335,1661,3.21667
67,43,1,0.34,1661,3.21667
68,44,0,0.345,1662,3.20833
69,44,1,0.35,1662,3.20833
70,45,0,0.355,1664,3.19167
71,45,1,0.36,1666,3.175
72,46,0,0.365,1669,3.15
73,46,1,0.37,1671,3.13333
74,47,0,0.375,1673,3.11667
75,47,1,0.38,1676,3.09167
76,48,0,0.385,1677,3.08333
77,48,1,0.39,1678,3.075
78,49,0,0.395,1678,3.075
79,49,1,0.4,1678,3.075
80,50,0,0.405,1680,3.05833
81,50,1,0.41,1688,2.99167
82,51,0,0.415,1706,2.84167
83,51,1,0.42,1725,2.68333
84,52,0,0.425,1748,2.49167
85,52,1,0.43,1764,2.35833
86,53,0,0.435,1773,2.28333
87,53,1,0.44,1776,2.25833
88,53,2,0.445,1776,2.25833
89,54,0,0.45,1771,2.3
90,55,0,0.455,1763,2.36667
91,55,1,0.46,1753,2.45
92,56,0,0.465,1742,2.54167
93,56,1,0.47,1734,2.60833
94,57,0,0.475,1734,2.60833
95,57,1,0.48,1738,2.575
96,58,0,0.485,1745,2.51667
97,58,1,0.49,1755,2.43333
98,59,0,0.495,1760,2.39167
99,59,1,0.5,1766,2.34167
100,60,0,0.505,1768,2.325
101,60,1,0.51,1766,2.34167
102,61,0,0.515,1765,2.35
103,61,1,0.52,1758,2.40833
104,62,0,0.525,1750,2.475
105,62,1,0.53,1748,2.49167
106,63,0,0.535,1742,2.54167
107,63,1,0.54,1745,2.51667
108,64,0,0.545,1749,2.48333
109,64,1,0.55,1750,2.475
110,64,2,0.555,1758,2.40833
111,65,0,0.56,1759,2.4
112,66,0,0.565,1762,2.375
113,66,1,0.57,1764,2.35833
114,67,0,0.575,1761,2.38333
115,67,1,0.58,1757,2.41667
116,68,0,0.585,1756,2.425
117,68,1,0.59,1751,2.46667
118,69,0,0.595,1749,2.48333
119,69,1,0.6,1748,2.49167
120,70,0,0.605,1746,2.50833
121,70,1,0.61,1749,2.48333
122,71,0,0.615,1753,2.45
123,71,1,0.62,1756,2.425
124,72,0,0.625,1757,2.41667
125,72,1,0.63,1764,2.35833
126,73,0,0.635,1763,2.36667
127,73,1,0.64,1762,2.375
128,74,0,0.645,1769,2.31667
129,74,1,0.65,1761,2.38333
130,75,0,0.655,1752,2.45833
131,75,1,0.66,1756,2.425
132,76,0,0.665,1749,2.48333
