index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00987013,0,0,0,0,0,0
1,10,1,0.0197403,0,0,0,0,0,0
2,10,2,0.0296104,0,0,0,0,0,0
3,10,3,0.0394805,0,0,0,0,0,0
4,11,0,0.0493506,0,0,0,0,0,0
5,11,1,0.0592208,0,0,0,0,0,0
6,11,2,0.0690909,0,0,0,0,0,0
7,11,3,0.078961,0,0,0,0,0,0
8,12,0,0.0888312,0,0,0,0,0,0
9,13,0,0.0987013,0,0,0,0,0,0
10,14,0,0.108571,0,0,0,0,0,0
11,15,0,0.118442,0,0,0,0,0,0
12,16,0,0.128312,0,0,0,0,0,0
13,17,0,0.138182,0,0,0,0,0,0
14,18,0,0.148052,0,0,0,0,0,0
15,19,0,0.157922,0,0,0,0,0,0
16,20,0,0.167792,0,0,0,0,0,0
17,21,0,0.177662,0,0,0,0,0,0
18,22,0,0.187532,0,0,0,0,0,0
19,23,0,0.197403,0,0,0,0,0,0
20,24,0,0.207273,0,0,0,0,0,0
21,25,0,0.217143,0,0,0,0,0,0
22,26,0,0.227013,0,0,0,0,0,0
23,27,0,0.236883,0,0,0,0,0,0
24,28,0,0.246753,0,0,0,0,0,0
25,29,0,0.256623,0,0,0,0,0,0
26,30,0,0.266494,0,0,0,0,0,0
27,31,0,0.276364,0,0,0,0,0,0
28,32,0,0.286234,0,0,0,0,0,0
29,33,0,0.296104,0,0,0,0,0,0
30,34,0,0.305974,0,0,0,0,0,0
31,35,0,0.315844,0,0,0,0,0,0
32,36,0,0.325714,0,0,0,0,0,0
33,37,0,0.335584,0,0,0,0,0,0
34,38,0,0.345455,0,0,0,0,0,0
35,39,0,0.355325,0,0,0,0,0,0
36,40,0,0.365195,0,0,0,0,0,0
37,41,0,0.375065,0,0,0,0,0,0
38,42,0,0.384935,0,0,0,0,0,0
39,43,0,0.394805,0,0,0,0,0,0
40,44,0,0.404675,0,0,0,0,0,0
41,45,0,0.414545,0,0,0,0,0,0
42,46,0,0.424416,0,0,0,0,0,0
43,47,0,0.434286,0,0,0,0,0,0
44,48,0,0.444156,0,0,0,0,0,0
45,49,0,0.454026,0,0,0,0,0,0
46,50,0,0.463896,0,0,0,0,0,0
47,51,0,0.473766,0,0,0,0,0,0
48,52,0,0.483636,0,0,0,0,0,0
49,53,0,0.493506,0,0,0,0,0,0
50,54,0,0.503377,0,0,0,0,0,0
51,55,0,0.513247,0,0,0,0,0,0
52,56,0,0.523117,0,0,0,0,0,0
53,57,0,0.532987,0,0,0,0,0,0
54,58,0,0.542857,0,0,0,0,0,0
55,59,0,0.552727,0,0,0,0,0,0
56,60,0,0.562597,0,0,0,0,0,0
57,61,0,0.572468,0,0,0,0,0,0
58,62,0,0.582338,0,0,0,0,0,0
59,63,0,0.592208,0,0,0,0,0,0
60,64,0,0.602078,0,0,0,0,0,0
61,65,0,0.611948,0,0,0,0,0,0
62,66,0,0.621818,0,0,0,0,0,0
63,67,0,0.631688,0,0,0,0,0,0
64,68,0,0.641558,0,0,0,0,0,-0.0933172
65,69,0,0.651429,0,0,0,0,0,-0.167971
66,70,0,0.661299,0,0,0,0,0,-0.223961
67,71,0,0.671169,0,0,0,0,0,-0.354605
68,72,0,0.681039,0,0,0,0,0,-0.447922
69,73,0,0.690909,0,-0.0002,0,-0.0202632,0,-0.503913
70,74,0,0.700779,0,-0.0004,0,-0.0202632,0,-0.709211
71,75,0,0.710649,-1,-0.0006,-1,-0.0202632,-1,-1.02649
72,76,0,0.720519,-1,-0.001,0,-0.0405263,1,-1.3251
73,77,0,0.73039,-1,-0.0014,0,-0.0405263,0,-1.77303
74,78,0,0.74026,-2,-0.0018,-1,-0.0405263,-1,-2.22095
75,79,0,0.75013,-2,-0.0026,0,-0.0810526,1,-2.74353
76,80,0,0.76,-3,-0.0038,-1,-0.121579,-1,-3.21011
77,81,0,0.76987,-5,-0.0052,-2,-0.141842,-1,-3.6767
78,82,0,0.77974,-7,-0.0072,-2,-0.202632,0,-4.10596
79,83,0,0.78961,-9,-0.0096,-2,-0.243158,0,-4.36724
80,84,0,0.799481,-12,-0.0124,-3,-0.283684,-1,-4.42323
81,85,0,0.809351,-15,-0.0156,-3,-0.324211,0,-4.55388
82,86,0,0.819221,-19,-0.0194,-4,-0.385,-1,-4.55388
83,87,0,0.829091,-23,-0.0236,-4,-0.425526,0,-4.51655
84,88,0,0.838961,-28,-0.0282,-5,-0.466053,-1,-4.62853
85,89,0,0.848831,-33,-0.0332,-5,-0.506579,0,-4.68452
86,90,0,0.858701,-38,-0.0388,-5,-0.567368,0,-4.5912
87,91,0,0.868571,-44,-0.0446,-6,-0.587632,-1,-4.6472
88,92,0,0.878442,-51,-0.051,-7,-0.648421,-1,-4.6472
89,93,0,0.888312,-57,-0.058,-6,-0.709211,1,-4.60987
90,94,0,0.898182,-65,-0.0654,-8,-0.749737,-2,-4.62853
91,95,0,0.908052,-73,-0.073,-8,-0.77,0,-4.5912
92,96,0,0.917922,-81,-0.0814,-8,-0.851053,0,-4.60987
93,97,0,0.927792,-89,-0.09,-8,-0.871316,0,-4.57254
94,98,0,0.937662,-99,-0.099,-10,-0.911842,-2,-4.57254
95,99,0,0.947532,-108,-0.1086,-9,-0.972632,1,-4.53521
96,100,0,0.957403,-118,-0.1186,-10,-1.01316,-1,-4.66586
97,101,0,0.967273,-129,-0.129,-11,-1.05368,-1,-4.62853
98,102,0,0.977143,-139,-0.14,-10,-1.11447,1,-4.6472
99,103,0,0.987013,-151,-0.1514,-12,-1.155,-2,-4.62853
100,104,0,0.996883,-163,-0.163,-12,-1.17526,0,-4.6472
101,105,0,1.00675,-175,-0.1754,-12,-1.25632,0,-4.60987
102,106,0,1.01662,-187,-0.1882,-12,-1.29684,0,-4.53521
103,107,0,1.02649,-201,-0.2012,-14,-1.31711,-2,-4.51655
104,108,0,1.03636,-215,-0.2148,-14,-1.37789,0,-4.55388
105,109,0,1.04623,-228,-0.229,-13,-1.43868,1,-4.55388
106,110,0,1.0561,-243,-0.2434,-15,-1.45895,-2,-4.49789
107,111,0,1.06597,-258,-0.2582,-15,-1.49947,0,-4.59121
