index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1697,2.91667
1,10,1,0.01,1697,2.91667
2,11,0,0.015,1697,2.91667
3,11,1,0.02,1697,2.91667
4,12,0,0.025,1697,2.91667
5,12,1,0.03,1697,2.91667
6,13,0,0.035,1698,2.90833
7,13,1,0.04,1698,2.90833
8,14,0,0.045,1698,2.90833
9,14,1,0.05,1698,2.90833
10,15,0,0.055,1698,2.90833
11,15,1,0.06,1697,2.91667
12,16,0,0.065,1697,2.91667
13,16,1,0.07,1696,2.925
14,17,0,0.075,1695,2.93333
15,17,1,0.08,1695,2.93333
16,18,0,0.085,1694,2.94167
17,18,1,0.09,1694,2.94167
18,19,0,0.095,1694,2.94167
19,19,1,0.1,1694,2.94167
20,20,0,0.105,1693,2.95
21,20,1,0.11,1693,2.95
22,21,0,0.115,1693,2.95
23,21,1,0.12,1693,2.95
24,22,0,0.125,1693,2.95
25,22,1,0.13,1692,2.95833
26,23,0,0.135,1692,2.95833
27,23,1,0.14,1692,2.95833
28,24,0,0.145,1692,2.95833
29,24,1,0.15,1692,2.95833
30,25,0,0.155,1692,2.95833
31,25,1,0.16,1691,2.96667
32,26,0,0.165,1691,2.96667
33,26,1,0.17,1690,2.975
34,27,0,0.175,1691,2.96667
35,27,1,0.18,1690,2.975
36,28,0,0.185,1689,2.98333
37,28,1,0.19,1690,2.975
38,29,0,0.195,1690,2.975
39,29,1,0.2,1690,2.975
40,30,0,0.205,1690,2.975
41,30,1,0.21,1690,2.975
42,31,0,0.215,1690,2.975
43,31,1,0.22,1690,2.975
44,32,0,0.225,1689,2.98333
45,32,1,0.23,1689,2.98333
46,33,0,0.235,1689,2.98333
47,33,1,0.24,1688,2.99167
48,34,0,0.245,1689,2.98333
49,34,1,0.25,1688,2.99167
50,35,0,0.255,1688,2.99167
51,35,1,0.26,1687,3
52,36,0,0.265,1685,3.01667
53,36,1,0.27,1685,3.01667
54,37,0,0.275,1684,3.025
55,37,1,0.28,1683,3.03333
56,38,0,0.285,1682,3.04167
57,38,1,0.29,1682,3.04167
58,39,0,0.295,1681,3.05
59,39,1,0.3,1680,3.05833
60,40,0,0.305,1680,3.05833
61,40,1,0.31,1679,3.06667
62,41,0,0.315,1679,3.06667
63,41,1,0.32,1678,3.075
