index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00985612,0,0,0,0,0,0
1,10,1,0.0197122,0,0,0,0,0,0
2,10,2,0.0295683,0,0,0,0,0,0
3,10,3,0.0394245,0,0,0,0,0,0
4,11,0,0.0492806,0,0,0,0,0,0
5,11,1,0.0591367,0,0,0,0,0,0
6,11,2,0.0689928,0,0,0,0,0,0
7,11,3,0.0788489,0,0,0,0,0,0
8,12,0,0.088705,0,0,0,0,0,0
9,13,0,0.0985612,0,0,0,0,0,0
10,14,0,0.108417,0,0,0,0,0,0
11,15,0,0.118273,0,0,0,0,0,0
12,17,0,0.128129,0,0,0,0,0,0
13,18,0,0.137986,0,0,0,0,0,0
14,19,0,0.147842,0,0,0,0,0,0
15,19,1,0.157698,0,0,0,0,0,0
16,20,0,0.167554,0,0,0,0,0,0
17,21,0,0.17741,0,0,0,0,0,0
18,22,0,0.187266,0,0,0,0,0,0
19,23,0,0.197122,0,0,0,0,0,0
20,24,0,0.206978,0,0,0,0,0,0
21,25,0,0.216835,0,0,0,0,0,0
22,26,0,0.226691,0,0,0,0,0,0
23,27,0,0.236547,0,0,0,0,0,0
24,28,0,0.246403,0,0,0,0,0,0
25,29,0,0.256259,0,0,0,0,0,0
26,30,0,0.266115,0,0,0,0,0,0
27,31,0,0.275971,0,0,0,0,0,0
28,32,0,0.285827,0,0,0,0,0,0
29,33,0,0.295683,0,0,0,0,0,0
30,34,0,0.30554,0,0,0,0,0,0
31,35,0,0.315396,0,0,0,0,0,0
32,37,0,0.325252,0,0,0,0,0,0
33,38,0,0.335108,0,0,0,0,0,0
34,38,1,0.344964,0,0,0,0,0,0
35,39,0,0.35482,0,0,0,0,0,0
36,40,0,0.364676,0,0,0,0,0,0
37,41,0,0.374532,0,0,0,0,0,0
38,42,0,0.384388,0,0,0,0,0,0
39,43,0,0.394245,0,0,0,0,0,0
40,44,0,0.404101,0,0,0,0,0,0
41,45,0,0.413957,0,0,0,0,0,0
42,46,0,0.423813,0,0,0,0,0,0
43,47,0,0.433669,0,0,0,0,0,0
44,48,0,0.443525,0,0,0,0,0,0
45,49,0,0.453381,0,0,0,0,0,0
46,50,0,0.463237,0,0,0,0,0,0
47,51,0,0.473094,0,0,0,0,0,0
48,52,0,0.48295,0,0,0,0,0,0
49,53,0,0.492806,0,0,0,0,0,0
50,54,0,0.502662,0,0,0,0,0,0
51,56,0,0.512518,0,0,0,0,0,0
52,57,0,0.522374,0,0,0,0,0,0
53,58,0,0.53223,0,0,0,0,0,0
54,58,1,0.542086,0,0,0,0,0,0
55,59,0,0.551942,0,0,0,0,0,0
56,60,0,0.561799,0,0,0,0,0,0
57,61,0,0.571655,0,0,0,0,0,0
58,62,0,0.581511,0,0,0,0,0,0
59,63,0,0.591367,0,0,0,0,0,0
60,64,0,0.601223,0,0,0,0,0,0
61,65,0,0.611079,0,0,0,0,0,0
62,66,0,0.620935,0,0,0,0,0,0
63,67,0,0.630791,0,0,0,0,0,0
64,68,0,0.640647,0,0,0,0,0,0
65,69,0,0.650504,0,0,0,0,0,0
66,70,0,0.66036,0,0,0,0,0,0
67,71,0,0.670216,0,0,0,0,0,0
68,72,0,0.680072,0,0,0,0,0,0
69,73,0,0.689928,0,0,0,0,0,0
70,74,0,0.699784,0,0,0,0,0,0
71,76,0,0.70964,0,0,0,0,0,0
72,77,0,0.719496,0,0,0,0,0,0
73,77,1,0.729353,0,0,0,0,0,0
74,78,0,0.739209,0,0,0,0,0,0
75,79,0,0.749065,0,0,0,0,0,0
76,80,0,0.758921,0,0,0,0,0,0
77,81,0,0.768777,0,0,0,0,0,0
78,82,0,0.778633,0,0,0,0,0,0
