index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1668,3.15833
1,10,1,0.01,1668,3.15833
2,11,0,0.015,1668,3.15833
3,11,1,0.02,1668,3.15833
4,12,0,0.025,1667,3.16667
5,12,1,0.03,1667,3.16667
6,13,0,0.035,1667,3.16667
7,13,1,0.04,1667,3.16667
8,14,0,0.045,1667,3.16667
9,14,1,0.05,1668,3.15833
10,15,0,0.055,1668,3.15833
11,15,1,0.06,1668,3.15833
12,16,0,0.065,1668,3.15833
13,16,1,0.07,1668,3.15833
14,17,0,0.075,1668,3.15833
15,17,1,0.08,1668,3.15833
16,18,0,0.085,1668,3.15833
17,18,1,0.09,1669,3.15
18,19,0,0.095,1668,3.15833
19,19,1,0.1,1668,3.15833
20,20,0,0.105,1669,3.15
21,20,1,0.11,1668,3.15833
22,21,0,0.115,1668,3.15833
23,21,1,0.12,1669,3.15
24,22,0,0.125,1669,3.15
25,22,1,0.13,1668,3.15833
26,23,0,0.135,1669,3.15
27,23,1,0.14,1669,3.15
28,24,0,0.145,1669,3.15
29,24,1,0.15,1669,3.15
30,25,0,0.155,1669,3.15
31,25,1,0.16,1669,3.15
32,26,0,0.165,1669,3.15
33,26,1,0.17,1669,3.15
34,27,0,0.175,1668,3.15833
35,27,1,0.18,1668,3.15833
36,28,0,0.185,1669,3.15
37,28,1,0.19,1669,3.15
38,29,0,0.195,1669,3.15
39,29,1,0.2,1669,3.15
40,30,0,0.205,1669,3.15
41,30,1,0.21,1669,3.15
42,31,0,0.215,1670,3.14167
43,31,1,0.22,1669,3.15
44,32,0,0.225,1670,3.14167
45,32,1,0.23,1669,3.15
46,33,0,0.235,1670,3.14167
47,33,1,0.24,1669,3.15
48,34,0,0.245,1669,3.15
49,34,1,0.25,1669,3.15
50,35,0,0.255,1670,3.14167
51,35,1,0.26,1670,3.14167
52,36,0,0.265,1670,3.14167
53,36,1,0.27,1670,3.14167
54,37,0,0.275,1671,3.13333
55,37,1,0.28,1671,3.13333
56,38,0,0.285,1670,3.14167
57,38,1,0.29,1671,3.13333
58,39,0,0.295,1670,3.14167
59,39,1,0.3,1671,3.13333
60,40,0,0.305,1671,3.13333
61,40,1,0.31,1670,3.14167
62,41,0,0.315,1670,3.14167
63,41,1,0.32,1670,3.14167
64,42,0,0.325,1671,3.13333
