index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0100503,0,0,0,0,0,0
1,11,0,0.0201005,0,0,0,0,0,0
2,12,0,0.0301508,0,0,0,0,0,0
3,13,0,0.040201,0,0,0,0,0,0
4,14,0,0.0502513,0,0,0,0,0,0
5,15,0,0.0603015,0,0,0,0,0,0
6,16,0,0.0703518,0,0,0,0,0,0
7,17,0,0.080402,0,0,0,0,0,0
8,18,0,0.0904523,0,0,0,0,0,0
9,19,0,0.100503,0,0,0,0,0,0
10,20,0,0.110553,0,0,0,0,0,0
11,21,0,0.120603,0,0,0,0,0,0
12,22,0,0.130653,0,0,0,0,0,0
13,23,0,0.140704,0,0,0,0,0,0
14,24,0,0.150754,0,0,0,0,0,0
15,25,0,0.160804,0,0,0,0,0,0
16,26,0,0.170854,0,0,0,0,0,0
17,27,0,0.180905,0,0,0,0,0,0
18,28,0,0.190955,0,0,0,0,0,0
19,29,0,0.201005,0,0,0,0,0,0
20,30,0,0.211055,0,0,0,0,0,0
21,31,0,0.221106,0,0,0,0,0,0
22,32,0,0.231156,0,0,0,0,0,0
23,33,0,0.241206,0,0,0,0,0,0
24,34,0,0.251256,0,0,0,0,0,0
25,35,0,0.261307,0,0,0,0,0,0
26,36,0,0.271357,0,0,0,0,0,0
27,37,0,0.281407,0,0,0,0,0,0
28,38,0,0.291457,0,0,0,0,0,0
29,39,0,0.301508,0,0,0,0,0,0
30,39,1,0.311558,0,0,0,0,0,0
31,41,0,0.321608,0,0,0,0,0,0
32,42,0,0.331658,0,0,0,0,0,0
33,43,0,0.341709,0,0,0,0,0,-0.0900023
34,44,0,0.351759,0,0,0,0,0,-0.252006
35,45,0,0.361809,0,0,0,0,0,-0.468012
36,46,0,0.371859,0,0,0,0,0,-0.81002
37,47,0,0.38191,0,0,0,0,0,-1.24203
38,49,0,0.39196,0,-0.0002,0,-0.0199,0,-1.72804
39,50,0,0.40201,0,-0.0006,0,-0.0398,0,-2.23206
40,51,0,0.41206,-1,-0.0012,-1,-0.0597,-1,-2.80807
41,52,0,0.422111,-2,-0.0022,-1,-0.0995,0,-3.31208
42,53,0,0.432161,-3,-0.0036,-1,-0.1393,0,-3.70809
43,53,1,0.442211,-5,-0.0054,-2,-0.1791,-1,-3.9601
44,55,0,0.452261,-7,-0.0076,-2,-0.2189,0,-4.1401
45,56,0,0.462312,-10,-0.0104,-3,-0.2786,-1,-4.23011
46,57,0,0.472362,-13,-0.0136,-3,-0.3184,0,-4.21211
47,58,0,0.482412,-17,-0.0172,-4,-0.3582,-1,-4.26611
48,59,0,0.492462,-21,-0.0212,-4,-0.398,0,-4.28411
49,60,0,0.502513,-25,-0.0256,-4,-0.4378,0,-4.35611
50,61,0,0.512563,-30,-0.0304,-5,-0.4776,-1,-4.37411
51,62,0,0.522613,-35,-0.0356,-5,-0.5174,0,-4.53611
