index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0100599,0,0,0,0,0,0
1,11,0,0.0201198,0,0,0,0,0,0
2,12,0,0.0301796,0,0,0,0,0,0
3,13,0,0.0402395,0,0,0,0,0,0
4,14,0,0.0502994,0,0,0,0,0,-0.17966
5,15,0,0.0603593,0,0,0,0,0,-0.413218
6,16,0,0.0704192,0,0,0,0,0,-0.862369
7,17,0,0.080479,0,0,0,0,0,-1.38338
8,18,0,0.0905389,0,0,0,0,0,-2.03016
9,19,0,0.100599,0,-0.0004,0,-0.0397619,0,-2.65897
10,20,0,0.110659,0,-0.001,0,-0.0596429,0,-3.32371
11,21,0,0.120719,-2,-0.0022,-2,-0.119286,-2,-3.79083
12,22,0,0.130778,-3,-0.0038,-1,-0.159048,1,-4.22201
13,23,0,0.140838,-6,-0.006,-3,-0.21869,-2,-4.47354
14,24,0,0.150898,-8,-0.0086,-2,-0.258452,1,-4.50947
15,25,0,0.160958,-11,-0.0118,-3,-0.318095,-1,-4.50947
16,26,0,0.171018,-15,-0.0152,-4,-0.337976,-1,-4.36574
17,27,0,0.181078,-19,-0.0192,-4,-0.397619,0,-4.36574
18,28,0,0.191138,-23,-0.0236,-4,-0.437381,0,-4.40167
19,29,0,0.201198,-28,-0.0284,-5,-0.477143,-1,-4.47354
20,30,0,0.211257,-33,-0.0336,-5,-0.516905,0,-4.4915
21,31,0,0.221317,-39,-0.0392,-6,-0.556667,-1,-4.56337
22,32,0,0.231377,-45,-0.0454,-6,-0.61631,0,-4.4915
23,33,0,0.241437,-51,-0.0522,-6,-0.675952,0,-4.47354
24,34,0,0.251497,-59,-0.0594,-8,-0.715714,-2,-4.50947
25,35,0,0.261557,-67,-0.067,-8,-0.755476,0,-4.4915
26,36,0,0.271617,-75,-0.075,-8,-0.795238,0,-4.50947
27,37,0,0.281677,-83,-0.0834,-8,-0.835,0,-4.45557
28,38,0,0.291737,-91,-0.0922,-8,-0.874762,0,-4.4376
29,39,0,0.301796,-101,-0.1016,-10,-0.934405,-2,-4.38371
30,40,0,0.311856,-111,-0.1114,-10,-0.974167,0,-4.40167
