index, frame, sample, time, raw[0], cal[0]
0,10,0,0.005,1687,3
1,10,1,0.01,1686,3.00833
2,11,0,0.015,1686,3.00833
3,11,1,0.02,1685,3.01667
4,12,0,0.025,1684,3.025
5,12,1,0.03,1684,3.025
6,13,0,0.035,1684,3.025
7,13,1,0.04,1684,3.025
8,14,0,0.045,1684,3.025
9,14,1,0.05,1684,3.025
10,15,0,0.055,1684,3.025
11,15,1,0.06,1684,3.025
12,16,0,0.065,1684,3.025
13,16,1,0.07,1683,3.03333
14,17,0,0.075,1684,3.025
15,17,1,0.08,1684,3.025
16,18,0,0.085,1684,3.025
17,18,1,0.09,1686,3.00833
18,19,0,0.095,1687,3
19,19,1,0.1,1687,3
20,20,0,0.105,1688,2.99167
21,20,1,0.11,1688,2.99167
22,21,0,0.115,1688,2.99167
23,21,1,0.12,1690,2.975
24,22,0,0.125,1691,2.96667
25,22,1,0.13,1692,2.95833
26,23,0,0.135,1695,2.93333
27,23,1,0.14,1696,2.925
28,24,0,0.145,1698,2.90833
29,24,1,0.15,1700,2.89167
30,25,0,0.155,1702,2.875
31,25,1,0.16,1705,2.85
32,26,0,0.165,1708,2.825
33,26,1,0.17,1712,2.79167
34,27,0,0.175,1716,2.75833
35,27,1,0.18,1720,2.725
36,28,0,0.185,1726,2.675
37,28,1,0.19,1733,2.61667
38,29,0,0.195,1740,2.55833
39,29,1,0.2,1749,2.48333
40,30,0,0.205,1758,2.40833
41,30,1,0.21,1768,2.325
42,31,0,0.215,1778,2.24167
43,31,1,0.22,1785,2.18333
44,32,0,0.225,1791,2.13333
45,32,1,0.23,1794,2.10833
46,33,0,0.235,1797,2.08333
47,33,1,0.24,1802,2.04167
48,34,0,0.245,1800,2.05833
49,34,1,0.25,1796,2.09167
50,35,0,0.255,1790,2.14167
51,35,1,0.26,1788,2.15833
52,36,0,0.265,1776,2.25833
53,36,1,0.27,1775,2.26667
54,37,0,0.275,1767,2.33333
55,37,1,0.28,1776,2.25833
56,38,0,0.285,1767,2.33333
57,38,1,0.29,1780,2.225
58,39,0,0.295,1783,2.2
59,39,1,0.3,1786,2.175
60,40,0,0.305,1795,2.1
61,40,1,0.31,1795,2.1
62,41,0,0.315,1791,2.13333
63,41,1,0.32,1792,2.125
64,42,0,0.325,1795,2.1
65,42,1,0.33,1786,2.175
66,43,0,0.335,1779,2.23333
67,43,1,0.34,1780,2.225
68,44,0,0.345,1774,2.275
69,44,1,0.35,1771,2.3
70,45,0,0.355,1778,2.24167
71,45,1,0.36,1779,2.23333
72,46,0,0.365,1783,2.2
73,46,1,0.37,1788,2.15833
74,47,0,0.375,1785,2.18333
75,47,1,0.38,1791,2.13333
76,48,0,0.385,1793,2.11667
77,48,1,0.39,1791,2.13333
78,49,0,0.395,1788,2.15833
79,49,1,0.4,1786,2.175
80,50,0,0.405,1785,2.18333
81,50,1,0.41,1779,2.23333
82,51,0,0.415,1782,2.20833
83,51,1,0.42,1777,2.25
84,52,0,0.425,1780,2.225
85,52,1,0.43,1786,2.175
86,53,0,0.435,1787,2.16667
87,53,1,0.44,1790,2.14167
88,54,0,0.445,1790,2.14167
89,54,1,0.45,1794,2.10833
90,55,0,0.455,1793,2.11667
91,55,1,0.46,1788,2.15833
92,56,0,0.465,1789,2.15
93,56,1,0.47,1791,2.13333
94,57,0,0.475,1793,2.11667
95,57,1,0.48,1790,2.14167
96,58,0,0.485,1791,2.13333
97,58,1,0.49,1786,2.175
98,59,0,0.495,1785,2.18333
99,59,1,0.5,1776,2.25833
100,60,0,0.505,1782,2.20833
101,60,1,0.51,1774,2.275
102,61,0,0.515,1781,2.21667
103,61,1,0.52,1782,2.20833
104,62,0,0.525,1786,2.175
105,62,1,0.53,1790,2.14167
106,63,0,0.535,1785,2.18333
107,63,1,0.54,1802,2.04167
108,64,0,0.545,1787,2.16667
109,64,1,0.55,1791,2.13333
110,65,0,0.555,1791,2.13333
111,65,1,0.56,1783,2.2
112,66,0,0.565,1782,2.20833
113,66,1,0.57,1781,2.21667
114,67,0,0.575,1776,2.25833
115,67,1,0.58,1778,2.24167
116,68,0,0.585,1779,2.23333
117,68,1,0.59,1778,2.24167
118,69,0,0.595,1784,2.19167
119,69,1,0.6,1790,2.14167
120,70,0,0.605,1793,2.11667
121,70,1,0.61,1791,2.13333
122,71,0,0.615,1797,2.08333
123,71,1,0.62,1797,2.08333
124,72,0,0.625,1794,2.10833
125,72,1,0.63,1786,2.175
126,73,0,0.635,1784,2.19167
127,73,1,0.64,1777,2.25
128,74,0,0.645,1772,2.29167
129,74,1,0.65,1772,2.29167
130,75,0,0.655,1773,2.28333
131,75,1,0.66,1777,2.25
132,76,0,0.665,1773,2.28333
133,76,1,0.67,1794,2.10833
134,77,0,0.675,1788,2.15833
135,77,1,0.68,1793,2.11667
136,78,0,0.685,1796,2.09167
137,78,1,0.69,1793,2.11667
138,79,0,0.695,1790,2.14167
139,79,1,0.7,1789,2.15
140,80,0,0.705,1793,2.11667
141,80,1,0.71,1807,2
142,81,0,0.715,1819,1.9
143,81,1,0.72,1832,1.79167
144,82,0,0.725,1830,1.80833
145,82,1,0.73,1831,1.8
146,83,0,0.735,1836,1.75833
147,83,1,0.74,1837,1.75
148,84,0,0.745,1836,1.75833
149,84,1,0.75,1833,1.78333
150,85,0,0.755,1833,1.78333
151,85,1,0.76,1794,2.10833
152,86,0,0.765,1729,2.65
153,86,1,0.77,1725,2.68333
154,87,0,0.775,1823,1.86667
155,87,1,0.78,1851,1.63333
156,88,0,0.785,1761,2.38333
157,88,1,0.79,1756,2.425
158,89,0,0.795,1745,2.51667
159,89,1,0.8,1778,2.24167
160,90,0,0.805,1787,2.16667
161,90,1,0.81,1822,1.875
162,91,0,0.815,1824,1.85833
163,91,1,0.82,1843,1.7
164,92,0,0.825,1828,1.825
165,92,1,0.83,1833,1.78333
166,93,0,0.835,1840,1.725
167,93,1,0.84,1832,1.79167
168,94,0,0.845,1831,1.8
169,94,1,0.85,1835,1.76667
170,95,0,0.855,1835,1.76667
171,95,1,0.86,1833,1.78333
172,96,0,0.865,1837,1.75
173,96,1,0.87,1832,1.79167
174,97,0,0.875,1835,1.76667
175,97,1,0.88,1837,1.75
176,98,0,0.885,1833,1.78333
