index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01005,0,0,0,0,0,0
1,11,0,0.0201,0,0,0,0,0,0
2,12,0,0.03015,0,0,0,0,0,0
3,13,0,0.0402,0,0,0,0,0,0
4,14,0,0.05025,0,0,0,0,0,0
5,15,0,0.0603,0,0,0,0,0,0
6,16,0,0.07035,0,0,0,0,0,0
7,17,0,0.0804,0,0,0,0,0,0
8,18,0,0.09045,0,0,0,0,0,0
9,19,0,0.1005,0,0,0,0,0,0
10,20,0,0.11055,0,0,0,0,0,0
11,21,0,0.1206,0,0,0,0,0,0
12,22,0,0.13065,0,0,0,0,0,0
13,23,0,0.1407,0,0,0,0,0,0
14,24,0,0.15075,0,0,0,0,0,0
15,25,0,0.1608,0,0,0,0,0,-0.0900068
16,26,0,0.17085,0,0,0,0,0,-0.252019
17,27,0,0.1809,0,0,0,0,0,-0.468035
18,28,0,0.19095,0,0,0,0,0,-0.810061
19,29,0,0.201,0,0,0,0,0,-1.15209
20,30,0,0.21105,0,-0.0002,0,-0.0199005,0,-1.47611
21,31,0,0.2211,0,-0.0006,0,-0.039801,0,-1.85414
22,33,0,0.23115,-1,-0.0012,-1,-0.0597015,-1,-2.25017
23,34,0,0.2412,-2,-0.0022,-1,-0.0995025,0,-2.53819
24,35,0,0.25125,-3,-0.0034,-1,-0.119403,0,-2.79021
25,36,0,0.2613,-5,-0.0048,-2,-0.139303,-1,-2.88022
26,37,0,0.27135,-6,-0.0066,-1,-0.179104,1,-2.89822
27,38,0,0.2814,-8,-0.0088,-2,-0.218905,-1,-2.93422
28,39,0,0.29145,-11,-0.0112,-3,-0.238806,-1,-2.97022
29,40,0,0.3015,-14,-0.014,-3,-0.278607,0,-3.00623
30,41,0,0.31155,-17,-0.017,-3,-0.298507,0,-3.13224
31,42,0,0.3216,-20,-0.0202,-3,-0.318408,0,-3.13224
32,43,0,0.33165,-23,-0.0238,-3,-0.358209,0,-3.02423
33,44,0,0.3417,-27,-0.0278,-4,-0.39801,-1,-2.93422
34,45,0,0.35175,-32,-0.032,-5,-0.41791,-1,-2.95222
35,46,0,0.3618,-37,-0.0368,-5,-0.477612,0,-2.97022
36,47,0,0.37185,-41,-0.0418,-4,-0.497512,1,-2.89822
37,48,0,0.3819,-47,-0.0468,-6,-0.497512,-2,-2.91622
38,49,0,0.39195,-52,-0.052,-5,-0.517413,1,-2.91622
39,50,0,0.402,-57,-0.0578,-5,-0.577114,0,-2.82621
40,51,0,0.41205,-63,-0.0638,-6,-0.597015,-1,-2.6642
41,52,0,0.4221,-70,-0.07,-7,-0.616915,-1,-2.73621
42,53,0,0.43215,-77,-0.0768,-7,-0.676617,0,-2.75421
43,54,0,0.4422,-83,-0.0838,-6,-0.696517,1,-2.7002
44,55,0,0.45225,-91,-0.0908,-8,-0.696517,-2,-2.6462
45,56,0,0.4623,-98,-0.098,-7,-0.716418,1,-2.7002
46,57,0,0.47235,-105,-0.1056,-7,-0.756219,0,-2.77221
47,58,0,0.4824,-113,-0.1134,-8,-0.776119,-1,-2.75421
48,59,0,0.49245,-121,-0.1216,-8,-0.81592,0,-2.86222
49,60,0,0.5025,-130,-0.1302,-9,-0.855721,-1,-3.00623
