index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,0,0,0,0,0,0
1,11,0,0.02,0,0,0,0,0,0
2,12,0,0.03,0,0,0,0,0,0
3,13,0,0.04,0,0,0,0,0,-0.0909091
4,14,0,0.05,0,0,0,0,0,-0.254545
5,15,0,0.06,0,0,0,0,0,-0.472727
6,16,0,0.07,0,0,0,0,0,-0.818182
7,17,0,0.08,0,0,0,0,0,-1.25455
8,18,0,0.09,0,-0.0002,0,-0.02,0,-1.65455
9,19,0,0.1,0,-0.0006,0,-0.04,0,-2.09091
10,20,0,0.11,-1,-0.0012,-1,-0.06,-1,-2.52727
11,21,0,0.12,-2,-0.0022,-1,-0.1,0,-2.74545
12,22,0,0.13,-3,-0.0036,-1,-0.14,0,-2.83636
13,23,0,0.14,-5,-0.0052,-2,-0.16,-1,-2.78182
14,24,0,0.15,-7,-0.0072,-2,-0.2,0,-2.67273
15,25,0,0.16,-9,-0.0096,-2,-0.24,0,-2.50909
16,26,0,0.17,-12,-0.012,-3,-0.24,-1,-2.38182
17,27,0,0.18,-15,-0.0146,-3,-0.26,0,-2.38182
18,28,0,0.19,-17,-0.0174,-2,-0.28,1,-2.50909
19,29,0,0.2,-20,-0.0204,-3,-0.3,-1,-2.56364
20,30,0,0.21,-23,-0.0236,-3,-0.32,0,-2.65455
21,31,0,0.22,-27,-0.0272,-4,-0.36,-1,-2.89091
22,32,0,0.23,-31,-0.0312,-4,-0.4,0,-2.96364
23,33,0,0.24,-35,-0.0356,-4,-0.44,0,-2.96364
24,34,0,0.25,-40,-0.0402,-5,-0.46,-1,-2.89091
25,35,0,0.26,-45,-0.045,-5,-0.48,0,-2.83636
26,36,0,0.27,-50,-0.0502,-5,-0.52,0,-2.69091
27,37,0,0.28,-55,-0.0556,-5,-0.54,0,-2.56364
28,38,0,0.29,-61,-0.0612,-6,-0.56,-1,-2.56364
29,39,0,0.3,-67,-0.067,-6,-0.58,0,-2.69091
30,40,0,0.31,-73,-0.0732,-6,-0.62,0,-2.74545
31,41,0,0.32,-79,-0.0796,-6,-0.64,0,-2.72727
32,42,0,0.33,-86,-0.0862,-7,-0.66,-1,-2.83636
33,43,0,0.34,-93,-0.0932,-7,-0.7,0,-2.87273
34,44,0,0.35,-100,-0.1006,-7,-0.74,0,-2.83636
35,45,0,0.36,-108,-0.1082,-8,-0.76,-1,-2.81818
36,46,0,0.37,-116,-0.116,-8,-0.78,0,-2.90909
37,47,0,0.38,-124,-0.1242,-8,-0.82,0,-2.90909
38,48,0,0.39,-132,-0.1326,-8,-0.84,0,-2.81818
39,49,0,0.4,-141,-0.1412,-9,-0.86,-1,-2.92727
40,50,0,0.41,-150,-0.1502,-9,-0.9,0,-3.03636
41,51,0,0.42,-159,-0.1596,-9,-0.94,0,-3.05455
42,52,0,0.43,-169,-0.1692,-10,-0.96,-1,-3.07273
43,53,0,0.44,-179,-0.179,-10,-0.98,0,-3.18182
44,54,0,0.45,-189,-0.1894,-10,-1.04,0,-3.18182
45,55,0,0.46,-199,-0.2,-10,-1.06,0,-3.16364
46,56,0,0.47,-211,-0.2108,-12,-1.08,-2,-3.21818
47,57,0,0.48,-222,-0.222,-11,-1.12,1,-3.25455
48,58,0,0.49,-233,-0.2336,-11,-1.16,0,-3.36364
49,59,0,0.5,-245,-0.2454,-12,-1.18,-1,-3.23636
50,60,0,0.51,-257,-0.2576,-12,-1.22,0,-3.2
51,61,0,0.52,-270,-0.2702,-13,-1.26,-1,-3.07273
52,62,0,0.53,-283,-0.283,-13,-1.28,0,-2.94545
53,63,0,0.54,-296,-0.2964,-13,-1.34,0,-2.72727
